"Union Membership, Coverage, Density and Employment by State and Sector","Union Membership, Coverage, Density and Employment by State and Sector","Union Membership, Coverage, Density and Employment by State and Sector","Union Membership, Coverage, Density and Employment by State and Sector","Union Membership, Coverage, Density and Employment by State and Sector","Union Membership, Coverage, Density and Employment by State and Sector","Union Membership, Coverage, Density and Employment by State and Sector","Union Membership, Coverage, Density and Employment by State and Sector","Union Membership, Coverage, Density and Employment by State and Sector","Union Membership, Coverage, Density and Employment by State and Sector"
2004,Montana,81,Private,1405,"283,129","15,703","17,231",5.50%,6.10%
2004,Montana,81,Public,405,"82,423","27,029","28,878",32.80%,35.00%
2004,Montana,81,Total,1810,"365,552","42,733","46,110",11.70%,12.60%
2005,Montana,81,Priv. Construction,121,"28,946","3,037","3,037",10.50%,10.50%
2005,Montana,81,Priv. Manufacturing,92,"19,570","1,936","1,936",9.90%,9.90%
2005,Montana,81,Private,1345,"306,881","17,592","19,798",5.70%,6.50%
2005,Montana,81,Public,387,"84,509","24,144","27,954",28.60%,33.10%
2005,Montana,81,Total,1732,"391,390","41,736","47,752",10.70%,12.20%
2006,Montana,81,Priv. Construction,113,"29,120","2,536","3,113",8.70%,10.70%
2006,Montana,81,Priv. Manufacturing,81,"19,036","1,708","1,708",9.00%,9.00%
2006,Montana,81,Private,1259,"306,413","16,767","18,845",5.50%,6.20%
2006,Montana,81,Public,390,"90,556","31,555","33,317",34.80%,36.80%
2006,Montana,81,Total,1649,"396,969","48,322","52,162",12.20%,13.10%
2007,Montana,81,Priv. Construction,120,"29,499","4,190","5,303",14.20%,18.00%
2007,Montana,81,Priv. Manufacturing,86,"20,624","2,054","2,807",10.00%,13.60%
2007,Montana,81,Private,1298,"312,117","18,869","23,708",6.00%,7.60%
2007,Montana,81,Public,366,"86,443","35,116","38,658",40.60%,44.70%
2007,Montana,81,Total,1664,"398,561","53,984","62,366",13.50%,15.60%
2008,Montana,81,Priv. Construction,125,"31,704","3,783","4,486",11.90%,14.10%
2008,Montana,81,Priv. Manufacturing,63,"14,991","1,923","2,104",12.80%,14.00%
2008,Montana,81,Private,1282,"314,003","18,439","26,836",5.90%,8.50%
2008,Montana,81,Public,312,"75,153","28,910","34,239",38.50%,45.60%
2008,Montana,81,Total,1594,"389,155","47,349","61,075",12.20%,15.70%
2009,Montana,81,Priv. Construction,89,"23,336","3,144","3,144",13.50%,13.50%
2009,Montana,81,Priv. Manufacturing,75,"19,054","3,024","3,729",15.90%,19.60%
2009,Montana,81,Private,1143,"295,923","19,116","27,918",6.50%,9.40%
2009,Montana,81,Public,301,"77,922","32,962","39,728",42.30%,51.00%
2009,Montana,81,Total,1444,"373,844","52,078","67,646",13.90%,18.10%
2010,Montana,81,Priv. Construction,74,"19,547","2,293","2,293",11.70%,11.70%
2010,Montana,81,Priv. Manufacturing,79,"20,370","2,221","2,221",10.90%,10.90%
2010,Montana,81,Private,1104,"292,181","16,421","18,914",5.60%,6.50%
2010,Montana,81,Public,273,"71,703","29,663","33,328",41.40%,46.50%
2010,Montana,81,Total,1377,"363,884","46,084","52,242",12.70%,14.40%
2011,Montana,81,Priv. Construction,65,"16,771","2,671","2,671",15.90%,15.90%
2011,Montana,81,Priv. Manufacturing,74,"18,367","2,359","2,644",12.80%,14.40%
2011,Montana,81,Private,1089,"290,629","15,772","18,632",5.40%,6.40%
2011,Montana,81,Public,325,"86,099","33,070","36,092",38.40%,41.90%
2011,Montana,81,Total,1414,"376,728","48,842","54,723",13.00%,14.50%
2012,Montana,81,Priv. Construction,68,"18,865","4,270","4,548",22.60%,24.10%
2012,Montana,81,Priv. Manufacturing,58,"15,550","2,137","2,515",13.70%,16.20%
2012,Montana,81,Private,1101,"304,297","17,561","24,418",5.80%,8.00%
2012,Montana,81,Public,341,"88,471","36,932","40,280",41.70%,45.50%
2012,Montana,81,Total,1442,"392,769","54,493","64,698",13.90%,16.50%
2013,Montana,81,Priv. Construction,78,"22,072","3,194","4,399",14.50%,19.90%
2013,Montana,81,Priv. Manufacturing,72,"19,586","1,721","1,721",8.80%,8.80%
2013,Montana,81,Private,1156,"314,936","20,195","25,870",6.40%,8.20%
2013,Montana,81,Public,345,"87,626","32,087","33,866",36.60%,38.60%
2013,Montana,81,Total,1501,"402,562","52,283","59,736",13.00%,14.80%
2014,Montana,81,Priv. Construction,112,"25,004","1,807","2,296",7.20%,9.20%
2014,Montana,81,Priv. Manufacturing,92,"18,829",570,570,3.00%,3.00%
2014,Montana,81,Private,1534,"331,878","18,799","21,670",5.70%,6.50%
2014,Montana,81,Public,395,"82,161","33,788","35,401",41.10%,43.10%
2014,Montana,81,Total,1929,"414,039","52,587","57,071",12.70%,13.80%
2015,Montana,81,Priv. Construction,174,"26,080","1,481","1,601",5.70%,6.10%
2015,Montana,81,Priv. Manufacturing,167,"23,760","2,786","2,903",11.70%,12.20%
2015,Montana,81,Private,2309,"342,016","21,391","24,543",6.30%,7.20%
2015,Montana,81,Public,586,"85,071","30,466","34,608",35.80%,40.70%
2015,Montana,81,Total,2895,"427,087","51,857","59,151",12.10%,13.80%
2016,Montana,81,Priv. Construction,180,"23,871","2,178","2,313",9.10%,9.70%
2016,Montana,81,Priv. Manufacturing,180,"23,578","3,993","4,160",16.90%,17.60%
2016,Montana,81,Private,2543,"333,936","21,506","24,250",6.40%,7.30%
2016,Montana,81,Public,655,"83,747","28,114","33,841",33.60%,40.40%
2016,Montana,81,Total,3198,"417,683","49,620","58,091",11.90%,13.90%
2017,Montana,81,Priv. Construction,181,"25,970","3,358","3,905",12.90%,15.00%
2017,Montana,81,Priv. Manufacturing,155,"22,000","2,824","3,193",12.80%,14.50%
2017,Montana,81,Private,2343,"329,793","19,183","22,321",5.80%,6.80%
2017,Montana,81,Public,666,"89,693","30,496","34,737",34.00%,38.70%
2017,Montana,81,Total,3009,"419,486","49,679","57,057",11.80%,13.60%
2018,Montana,81,Priv. Construction,177,"27,873","2,775","3,213",10.00%,11.50%
2018,Montana,81,Priv. Manufacturing,155,"23,738","1,964","1,964",8.30%,8.30%
2018,Montana,81,Private,2248,"344,964","19,562","23,559",5.70%,6.80%
2018,Montana,81,Public,557,"82,338","30,879","36,367",37.50%,44.20%
2018,Montana,81,Total,2805,"427,301","50,441","59,926",11.80%,14.00%
2019,Montana,81,Priv. Construction,189,"32,644","3,789","3,980",11.60%,12.20%
2019,Montana,81,Priv. Manufacturing,133,"21,947",810,993,3.70%,4.50%
2019,Montana,81,Private,2145,"359,274","19,187","21,481",5.30%,6.00%
2019,Montana,81,Public,482,"77,827","26,835","30,765",34.50%,39.50%
2019,Montana,81,Total,2627,"437,102","46,022","52,246",10.50%,12.00%
2020,Montana,81,Priv. Construction,136,"24,649","2,290","2,461",9.30%,10.00%
2020,Montana,81,Priv. Manufacturing,132,"23,012","1,757","1,972",7.60%,8.60%
2020,Montana,81,Private,1872,"337,178","18,916","20,934",5.60%,6.20%
2020,Montana,81,Public,469,"82,218","31,407","33,248",38.20%,40.40%
2020,Montana,81,Total,2341,"419,396","50,324","54,181",12.00%,12.90%
2021,Montana,81,Priv. Construction,165,"32,370","4,200","4,605",13.00%,14.20%
2021,Montana,81,Priv. Manufacturing,105,"19,952","1,697","1,932",8.50%,9.70%
2021,Montana,81,Private,1821,"355,281","22,397","25,414",6.30%,7.20%
2021,Montana,81,Public,436,"82,263","26,604","30,873",32.30%,37.50%
2021,Montana,81,Total,2257,"437,544","49,002","56,288",11.20%,12.90%
2022,Montana,81,Priv. Construction,136,"30,860","2,514","2,514",8.10%,8.10%
2022,Montana,81,Priv. Manufacturing,125,"27,153","1,136","1,136",4.20%,4.20%
2022,Montana,81,Private,1672,"375,960","20,416","21,796",5.40%,5.80%
2022,Montana,81,Public,429,"90,778","31,841","35,686",35.10%,39.30%
2022,Montana,81,Total,2101,"466,738","52,258","57,482",11.20%,12.30%
1983,Nebraska,46,Priv. Construction,95,"25,203","3,256","3,535",12.90%,14.00%
1983,Nebraska,46,Priv. Manufacturing,293,"76,802","14,648","17,521",19.10%,22.80%
1983,Nebraska,46,Private,1814,"474,610","46,259","51,965",9.70%,10.90%
1983,Nebraska,46,Public,459,"118,752","34,382","42,881",29.00%,36.10%
1983,Nebraska,46,Total,2273,"593,362","80,641","94,846",13.60%,16.00%
1984,Nebraska,46,Priv. Construction,97,"27,105","5,169","5,169",19.10%,19.10%
1984,Nebraska,46,Priv. Manufacturing,329,"90,783","18,830","23,437",20.70%,25.80%
1984,Nebraska,46,Private,1762,"485,353","54,659","64,330",11.30%,13.30%
1984,Nebraska,46,Public,439,"120,388","27,695","38,692",23.00%,32.10%
1984,Nebraska,46,Total,2201,"605,741","82,355","103,021",13.60%,17.00%
1985,Nebraska,46,Priv. Construction,93,"26,647","5,954","6,526",22.30%,24.50%
1985,Nebraska,46,Priv. Manufacturing,332,"94,954","21,291","25,921",22.40%,27.30%
1985,Nebraska,46,Private,1763,"504,693","52,099","63,130",10.30%,12.50%
1985,Nebraska,46,Public,406,"114,092","26,721","35,862",23.40%,31.40%
1985,Nebraska,46,Total,2169,"618,785","78,820","98,992",12.70%,16.00%
1986,Nebraska,46,Priv. Construction,84,"24,595","4,159","4,955",16.90%,20.10%
1986,Nebraska,46,Priv. Manufacturing,327,"95,916","15,870","17,563",16.50%,18.30%
1986,Nebraska,46,Private,1840,"538,559","44,792","52,868",8.30%,9.80%
1986,Nebraska,46,Public,391,"113,222","28,153","38,186",24.90%,33.70%
1986,Nebraska,46,Total,2231,"651,781","72,945","91,054",11.20%,14.00%
1987,Nebraska,46,Priv. Construction,90,"25,498","2,566","3,171",10.10%,12.40%
1987,Nebraska,46,Priv. Manufacturing,376,"106,632","15,793","20,177",14.80%,18.90%
1987,Nebraska,46,Private,1836,"510,252","34,954","44,510",6.90%,8.70%
1987,Nebraska,46,Public,432,"117,295","35,119","48,224",29.90%,41.10%
1987,Nebraska,46,Total,2268,"627,547","70,073","92,734",11.20%,14.80%
1988,Nebraska,46,Priv. Construction,93,"26,741","1,591","2,731",5.90%,10.20%
1988,Nebraska,46,Priv. Manufacturing,342,"97,996","17,044","22,788",17.40%,23.30%
1988,Nebraska,46,Private,1873,"532,994","40,469","58,694",7.60%,11.00%
1988,Nebraska,46,Public,429,"121,781","36,095","52,206",29.60%,42.90%
1988,Nebraska,46,Total,2302,"654,775","76,564","110,900",11.70%,16.90%
1989,Nebraska,46,Priv. Construction,73,"21,279","3,455","3,455",16.20%,16.20%
1989,Nebraska,46,Priv. Manufacturing,344,"99,755","18,647","25,962",18.70%,26.00%
1989,Nebraska,46,Private,1859,"537,990","40,494","57,491",7.50%,10.70%
1989,Nebraska,46,Public,391,"113,384","37,379","49,725",33.00%,43.90%
1989,Nebraska,46,Total,2250,"651,375","77,873","107,216",12.00%,16.50%
1990,Nebraska,46,Priv. Construction,90,"24,895","2,694","3,229",10.80%,13.00%
1990,Nebraska,46,Priv. Manufacturing,395,"108,976","19,302","24,362",17.70%,22.40%
1990,Nebraska,46,Private,1958,"531,843","38,215","52,318",7.20%,9.80%
1990,Nebraska,46,Public,476,"127,618","34,252","48,676",26.80%,38.10%
1990,Nebraska,46,Total,2434,"659,462","72,468","100,993",11.00%,15.30%
1991,Nebraska,46,Priv. Construction,80,"22,228","1,685","2,698",7.60%,12.10%
1991,Nebraska,46,Priv. Manufacturing,368,"99,960","18,638","23,629",18.60%,23.60%
1991,Nebraska,46,Private,2000,"542,634","36,557","52,992",6.70%,9.80%
1991,Nebraska,46,Public,478,"128,440","35,303","53,392",27.50%,41.60%
1991,Nebraska,46,Total,2478,"671,074","71,860","106,383",10.70%,15.90%
1992,Nebraska,46,Priv. Construction,102,"27,332","2,112","2,112",7.70%,7.70%
1992,Nebraska,46,Priv. Manufacturing,359,"95,173","14,710","18,432",15.50%,19.40%
1992,Nebraska,46,Private,2056,"550,312","33,722","51,334",6.10%,9.30%
1992,Nebraska,46,Public,476,"125,042","38,152","51,318",30.50%,41.00%
1992,Nebraska,46,Total,2532,"675,353","71,874","102,652",10.60%,15.20%
1993,Nebraska,46,Priv. Construction,105,"29,638","4,511","4,771",15.20%,16.10%
1993,Nebraska,46,Priv. Manufacturing,377,"103,848","13,438","17,347",12.90%,16.70%
1993,Nebraska,46,Private,2128,"582,495","38,043","49,375",6.50%,8.50%
1993,Nebraska,46,Public,487,"131,043","39,301","56,111",30.00%,42.80%
1993,Nebraska,46,Total,2615,"713,538","77,344","105,486",10.80%,14.80%
1994,Nebraska,46,Priv. Construction,89,"27,430","4,675","4,675",17.00%,17.00%
1994,Nebraska,46,Priv. Manufacturing,346,"101,833","16,577","19,636",16.30%,19.30%
1994,Nebraska,46,Private,1996,"595,678","39,537","46,564",6.60%,7.80%
1994,Nebraska,46,Public,431,"126,478","37,977","50,558",30.00%,40.00%
1994,Nebraska,46,Total,2427,"722,156","77,514","97,122",10.70%,13.40%
1995,Nebraska,46,Priv. Construction,83,"27,630","1,847","1,847",6.70%,6.70%
1995,Nebraska,46,Priv. Manufacturing,292,"95,292","13,750","17,448",14.40%,18.30%
1995,Nebraska,46,Private,1815,"596,901","30,077","41,173",5.00%,6.90%
1995,Nebraska,46,Public,377,"118,479","35,342","47,352",29.80%,40.00%
1995,Nebraska,46,Total,2192,"715,381","65,419","88,525",9.10%,12.40%
1996,Nebraska,46,Priv. Construction,94,"31,974","3,924","3,924",12.30%,12.30%
1996,Nebraska,46,Priv. Manufacturing,283,"97,168","10,295","16,118",10.60%,16.60%
1996,Nebraska,46,Private,1781,"605,467","31,029","41,782",5.10%,6.90%
1996,Nebraska,46,Public,383,"126,339","31,904","48,606",25.30%,38.50%
1996,Nebraska,46,Total,2164,"731,806","62,933","90,388",8.60%,12.40%
1997,Nebraska,46,Priv. Construction,100,"34,018","4,467","4,467",13.10%,13.10%
1997,Nebraska,46,Priv. Manufacturing,298,"100,295","13,059","19,481",13.00%,19.40%
1997,Nebraska,46,Private,1812,"611,270","35,993","48,335",5.90%,7.90%
1997,Nebraska,46,Public,391,"129,469","32,816","42,804",25.30%,33.10%
1997,Nebraska,46,Total,2203,"740,739","68,808","91,139",9.30%,12.30%
1998,Nebraska,46,Priv. Construction,90,"30,716","3,888","3,888",12.70%,12.70%
1998,Nebraska,46,Priv. Manufacturing,282,"96,593","14,783","22,949",15.30%,23.80%
1998,Nebraska,46,Private,1861,"627,706","38,022","54,624",6.10%,8.70%
1998,Nebraska,46,Public,368,"123,003","39,226","49,328",31.90%,40.10%
1998,Nebraska,46,Total,2229,"750,709","77,248","103,951",10.30%,13.80%
1999,Nebraska,46,Priv. Construction,93,"30,848","3,639","3,884",11.80%,12.60%
1999,Nebraska,46,Priv. Manufacturing,319,"107,507","11,434","17,811",10.60%,16.60%
1999,Nebraska,46,Private,1859,"623,074","29,499","43,086",4.70%,6.90%
1999,Nebraska,46,Public,381,"125,063","36,069","48,448",28.80%,38.70%
1999,Nebraska,46,Total,2240,"748,138","65,568","91,535",8.80%,12.20%
2000,Nebraska,46,Priv. Construction,103,"34,664","2,162","2,516",6.20%,7.30%
2000,Nebraska,46,Priv. Manufacturing,314,"103,399","13,517","21,982",13.10%,21.30%
2000,Nebraska,46,Private,1933,"644,182","29,450","42,157",4.60%,6.50%
2000,Nebraska,46,Public,402,"130,592","35,460","47,198",27.20%,36.10%
2000,Nebraska,46,Total,2335,"774,773","64,910","89,355",8.40%,11.50%
2001,Nebraska,46,Priv. Construction,112,"31,617","2,841","3,023",9.00%,9.60%
2001,Nebraska,46,Priv. Manufacturing,352,"99,676","11,968","19,059",12.00%,19.10%
2001,Nebraska,46,Private,2216,"631,121","31,979","43,176",5.10%,6.80%
2001,Nebraska,46,Public,447,"124,060","28,111","39,252",22.70%,31.60%
2001,Nebraska,46,Total,2663,"755,181","60,090","82,429",8.00%,10.90%
2002,Nebraska,46,Priv. Construction,139,"34,804","3,986","3,986",11.50%,11.50%
2002,Nebraska,46,Priv. Manufacturing,373,"89,601","8,691","13,628",9.70%,15.20%
2002,Nebraska,46,Private,2658,"649,166","31,613","42,009",4.90%,6.50%
2002,Nebraska,46,Public,527,"124,200","29,979","43,657",24.10%,35.20%
2002,Nebraska,46,Total,3185,"773,365","61,592","85,666",8.00%,11.10%
2003,Nebraska,46,Priv. Construction,163,"43,285","4,131","4,369",9.50%,10.10%
2003,Nebraska,46,Priv. Manufacturing,349,"91,258","10,240","13,875",11.20%,15.20%
2003,Nebraska,46,Private,2646,"682,428","29,752","39,663",4.40%,5.80%
2003,Nebraska,46,Public,545,"136,258","34,612","47,500",25.40%,34.90%
2003,Nebraska,46,Total,3191,"818,686","64,364","87,163",7.90%,10.60%
2004,Nebraska,46,Priv. Construction,179,"48,653","6,083","6,083",12.50%,12.50%
2004,Nebraska,46,Priv. Manufacturing,349,"92,100","9,979","12,220",10.80%,13.30%
2004,Nebraska,46,Private,2561,"684,457","34,432","38,989",5.00%,5.70%
2004,Nebraska,46,Public,555,"146,854","34,735","44,289",23.70%,30.20%
2004,Nebraska,46,Total,3116,"831,310","69,168","83,279",8.30%,10.00%
2005,Nebraska,46,Priv. Construction,159,"43,553","3,091","3,091",7.10%,7.10%
2005,Nebraska,46,Priv. Manufacturing,410,"111,677","12,558","13,929",11.20%,12.50%
2005,Nebraska,46,Private,2496,"687,306","30,851","33,991",4.50%,4.90%
2005,Nebraska,46,Public,525,"143,031","38,456","44,542",26.90%,31.10%
2005,Nebraska,46,Total,3021,"830,336","69,307","78,533",8.30%,9.50%
2006,Nebraska,46,Priv. Construction,153,"45,572","4,142","4,142",9.10%,9.10%
2006,Nebraska,46,Priv. Manufacturing,403,"115,109","10,494","11,698",9.10%,10.20%
2006,Nebraska,46,Private,2366,"691,882","30,541","34,800",4.40%,5.00%
2006,Nebraska,46,Public,484,"138,667","35,371","43,960",25.50%,31.70%
2006,Nebraska,46,Total,2850,"830,549","65,913","78,761",7.90%,9.50%
2007,Nebraska,46,Priv. Construction,114,"33,445","3,027","3,027",9.10%,9.10%
2007,Nebraska,46,Priv. Manufacturing,382,"110,360","7,749","9,413",7.00%,8.50%
2007,Nebraska,46,Private,2321,"681,229","26,577","31,346",3.90%,4.60%
2007,Nebraska,46,Public,539,"154,646","38,216","49,670",24.70%,32.10%
2007,Nebraska,46,Total,2860,"835,876","64,794","81,017",7.80%,9.70%
2008,Nebraska,46,Priv. Construction,143,"41,933","4,683","4,683",11.20%,11.20%
2008,Nebraska,46,Priv. Manufacturing,379,"108,927","7,910","9,795",7.30%,9.00%
2008,Nebraska,46,Private,2399,"690,036","29,080","35,788",4.20%,5.20%
2008,Nebraska,46,Public,533,"149,896","40,948","54,499",27.30%,36.40%
2008,Nebraska,46,Total,2932,"839,932","70,028","90,287",8.30%,10.70%
2009,Nebraska,46,Priv. Construction,106,"30,607","3,801","4,494",12.40%,14.70%
2009,Nebraska,46,Priv. Manufacturing,369,"104,567","9,782","12,107",9.40%,11.60%
2009,Nebraska,46,Private,2372,"674,744","28,401","36,620",4.20%,5.40%
2009,Nebraska,46,Public,540,"148,610","47,361","57,370",31.90%,38.60%
2009,Nebraska,46,Total,2912,"823,354","75,762","93,991",9.20%,11.40%
2010,Nebraska,46,Priv. Construction,115,"34,001","4,467","4,467",13.10%,13.10%
2010,Nebraska,46,Priv. Manufacturing,379,"110,216","12,814","16,956",11.60%,15.40%
2010,Nebraska,46,Private,2275,"659,164","31,801","39,730",4.80%,6.00%
2010,Nebraska,46,Public,547,"153,906","43,529","55,883",28.30%,36.30%
2010,Nebraska,46,Total,2822,"813,071","75,330","95,612",9.30%,11.80%
2011,Nebraska,46,Priv. Construction,144,"43,041","3,754","4,146",8.70%,9.60%
2011,Nebraska,46,Priv. Manufacturing,388,"112,982","10,255","12,246",9.10%,10.80%
2011,Nebraska,46,Private,2316,"670,202","25,158","31,094",3.80%,4.60%
2011,Nebraska,46,Public,566,"158,232","40,207","51,644",25.40%,32.60%
2011,Nebraska,46,Total,2882,"828,434","65,365","82,738",7.90%,10.00%
2012,Nebraska,46,Priv. Construction,133,"40,617","3,251","3,251",8.00%,8.00%
2012,Nebraska,46,Priv. Manufacturing,395,"118,325","6,750","10,000",5.70%,8.50%
2012,Nebraska,46,Private,2378,"713,109","24,090","32,422",3.40%,4.50%
2012,Nebraska,46,Public,516,"150,099","27,351","37,589",18.20%,25.00%
2012,Nebraska,46,Total,2894,"863,209","51,441","70,011",6.00%,8.10%
2013,Nebraska,46,Priv. Construction,152,"47,441","4,361","4,779",9.20%,10.10%
2013,Nebraska,46,Priv. Manufacturing,399,"124,154","10,444","12,339",8.40%,9.90%
2013,Nebraska,46,Private,2373,"734,398","30,576","37,328",4.20%,5.10%
2013,Nebraska,46,Public,455,"135,690","32,293","41,050",23.80%,30.30%
2013,Nebraska,46,Total,2828,"870,089","62,869","78,378",7.20%,9.00%
2014,Nebraska,46,Priv. Construction,130,"44,557","2,301","2,301",5.20%,5.20%
2014,Nebraska,46,Priv. Manufacturing,342,"111,741","6,925","8,583",6.20%,7.70%
2014,Nebraska,46,Private,2221,"734,492","27,741","34,343",3.80%,4.70%
2014,Nebraska,46,Public,440,"143,018","36,077","44,341",25.20%,31.00%
2014,Nebraska,46,Total,2661,"877,511","63,818","78,684",7.30%,9.00%
2015,Nebraska,46,Priv. Construction,143,"53,994","5,428","5,428",10.10%,10.10%
2015,Nebraska,46,Priv. Manufacturing,300,"112,809","9,154","10,286",8.10%,9.10%
2015,Nebraska,46,Private,2005,"749,357","33,930","38,868",4.50%,5.20%
2015,Nebraska,46,Public,371,"132,288","34,281","40,697",25.90%,30.80%
2015,Nebraska,46,Total,2376,"881,645","68,211","79,565",7.70%,9.00%
2016,Nebraska,46,Priv. Construction,128,"53,003","4,449","4,449",8.40%,8.40%
2016,Nebraska,46,Priv. Manufacturing,265,"103,300","8,976","8,976",8.70%,8.70%
2016,Nebraska,46,Private,1919,"748,146","27,375","32,250",3.70%,4.30%
2016,Nebraska,46,Public,341,"127,854","37,055","42,102",29.00%,32.90%
2016,Nebraska,46,Total,2260,"876,001","64,430","74,353",7.40%,8.50%
2017,Nebraska,46,Priv. Construction,114,"47,459","3,346","3,774",7.00%,8.00%
2017,Nebraska,46,Priv. Manufacturing,269,"106,063","12,910","12,910",12.20%,12.20%
2017,Nebraska,46,Private,1828,"726,925","32,082","34,196",4.40%,4.70%
2017,Nebraska,46,Public,340,"132,403","37,939","43,622",28.70%,32.90%
2017,Nebraska,46,Total,2168,"859,328","70,021","77,818",8.10%,9.10%
2018,Nebraska,46,Priv. Construction,147,"63,141","5,575","5,575",8.80%,8.80%
2018,Nebraska,46,Priv. Manufacturing,275,"113,877","7,510","9,571",6.60%,8.40%
2018,Nebraska,46,Private,1788,"744,178","27,776","31,313",3.70%,4.20%
2018,Nebraska,46,Public,345,"139,630","30,671","39,537",22.00%,28.30%
2018,Nebraska,46,Total,2133,"883,808","58,447","70,850",6.60%,8.00%
2019,Nebraska,46,Priv. Construction,139,"61,333","8,203","8,862",13.40%,14.40%
2019,Nebraska,46,Priv. Manufacturing,245,"105,541","7,236","7,632",6.90%,7.20%
2019,Nebraska,46,Private,1762,"751,497","34,452","36,879",4.60%,4.90%
2019,Nebraska,46,Public,356,"143,055","39,977","48,512",27.90%,33.90%
2019,Nebraska,46,Total,2118,"894,552","74,430","85,390",8.30%,9.50%
2020,Nebraska,46,Priv. Construction,94,"42,674","5,710","5,710",13.40%,13.40%
2020,Nebraska,46,Priv. Manufacturing,225,"102,342","9,334","9,875",9.10%,9.60%
2020,Nebraska,46,Private,1673,"744,800","34,415","37,179",4.60%,5.00%
2020,Nebraska,46,Public,334,"144,931","50,833","56,490",35.10%,39.00%
2020,Nebraska,46,Total,2007,"889,731","85,248","93,669",9.60%,10.50%
2021,Nebraska,46,Priv. Construction,103,"47,160","4,256","4,256",9.00%,9.00%
2021,Nebraska,46,Priv. Manufacturing,216,"100,472","8,288","9,081",8.20%,9.00%
2021,Nebraska,46,Private,1662,"769,680","31,307","37,234",4.10%,4.80%
2021,Nebraska,46,Public,285,"128,762","29,547","34,128",22.90%,26.50%
2021,Nebraska,46,Total,1947,"898,442","60,854","71,363",6.80%,7.90%
2022,Nebraska,46,Priv. Construction,98,"50,454","5,103","6,053",10.10%,12.00%
2022,Nebraska,46,Priv. Manufacturing,195,"103,538","13,722","15,329",13.30%,14.80%
2022,Nebraska,46,Private,1506,"794,996","35,662","43,018",4.50%,5.40%
2022,Nebraska,46,Public,251,"127,761","24,346","31,090",19.10%,24.30%
2022,Nebraska,46,Total,1757,"922,757","60,008","74,108",6.50%,8.00%
1983,Nevada,88,Priv. Construction,95,"18,987","8,797","8,955",46.30%,47.20%
1983,Nevada,88,Priv. Manufacturing,90,"18,733","2,024","2,414",10.80%,12.90%
1983,Nevada,88,Private,1692,"342,495","67,118","75,969",19.60%,22.20%
1983,Nevada,88,Public,291,"58,546","22,834","30,780",39.00%,52.60%
1983,Nevada,88,Total,1983,"401,042","89,953","106,749",22.40%,26.60%
1984,Nevada,88,Priv. Construction,122,"27,517","10,736","10,970",39.00%,39.90%
1984,Nevada,88,Priv. Manufacturing,98,"21,151","3,744","4,582",17.70%,21.70%
1984,Nevada,88,Private,1703,"356,337","75,533","83,852",21.20%,23.50%
1984,Nevada,88,Public,305,"64,102","23,299","30,238",36.30%,47.20%
1984,Nevada,88,Total,2008,"420,440","98,833","114,090",23.50%,27.10%
1985,Nevada,88,Priv. Construction,108,"24,789","9,522","9,522",38.40%,38.40%
1985,Nevada,88,Priv. Manufacturing,103,"23,762","3,249","3,906",13.70%,16.40%
1985,Nevada,88,Private,1517,"347,720","67,711","73,971",19.50%,21.30%
1985,Nevada,88,Public,289,"67,028","22,002","28,168",32.80%,42.00%
1985,Nevada,88,Total,1806,"414,748","89,712","102,139",21.60%,24.60%
1986,Nevada,88,Priv. Construction,118,"29,275","6,973","6,973",23.80%,23.80%
1986,Nevada,88,Priv. Manufacturing,106,"25,585","2,794","3,012",10.90%,11.80%
1986,Nevada,88,Private,1522,"377,508","60,992","68,974",16.20%,18.30%
1986,Nevada,88,Public,273,"65,675","21,885","30,756",33.30%,46.80%
1986,Nevada,88,Total,1795,"443,184","82,877","99,729",18.70%,22.50%
1987,Nevada,88,Priv. Construction,102,"26,779","7,287","7,518",27.20%,28.10%
1987,Nevada,88,Priv. Manufacturing,106,"27,293","1,946","1,946",7.10%,7.10%
1987,Nevada,88,Private,1537,"396,686","61,065","67,154",15.40%,16.90%
1987,Nevada,88,Public,285,"71,940","24,788","32,912",34.50%,45.70%
1987,Nevada,88,Total,1822,"468,625","85,852","100,066",18.30%,21.40%
1988,Nevada,88,Priv. Construction,137,"34,122","9,919","10,554",29.10%,30.90%
1988,Nevada,88,Priv. Manufacturing,136,"32,796","1,971","1,971",6.00%,6.00%
1988,Nevada,88,Private,1751,"428,981","66,452","74,308",15.50%,17.30%
1988,Nevada,88,Public,287,"68,326","23,576","29,637",34.50%,43.40%
1988,Nevada,88,Total,2038,"497,307","90,028","103,945",18.10%,20.90%
1989,Nevada,88,Priv. Construction,147,"37,253","8,313","8,313",22.30%,22.30%
1989,Nevada,88,Priv. Manufacturing,139,"35,414","2,608","2,798",7.40%,7.90%
1989,Nevada,88,Private,1772,"448,212","66,656","74,415",14.90%,16.60%
1989,Nevada,88,Public,278,"67,742","27,129","32,801",40.00%,48.40%
1989,Nevada,88,Total,2050,"515,954","93,786","107,216",18.20%,20.80%
1990,Nevada,88,Priv. Construction,155,"39,754","9,488","9,799",23.90%,24.60%
1990,Nevada,88,Priv. Manufacturing,116,"30,647","3,456","3,456",11.30%,11.30%
1990,Nevada,88,Private,1874,"486,869","64,575","70,600",13.30%,14.50%
1990,Nevada,88,Public,298,"73,053","26,603","32,294",36.40%,44.20%
1990,Nevada,88,Total,2172,"559,922","91,178","102,893",16.30%,18.40%
